Code_uniq,ref_Thickness,rst_Thickness,diff_Thickness
1001,  0.563010,  0.474662,  0.156921
1002,  0.592887,  0.471073,  0.205459
1003,  0.298554,  0.275803,  0.076204
1004,  0.490798,  0.436393,  0.110849
1005,  0.326872,  0.277941,  0.149694
1006,  0.465568,  0.313787,  0.326012
1007,  0.613682,  0.683028,  0.112999
1008,  0.559245,  0.597535,  0.068467
1009,  0.599384,  0.367637,  0.386643
1010,  0.205691,  0.205067,  0.003034
1011,  0.663625,  0.535723,  0.192732
1012,  0.410862,  0.364544,  0.112733
1013,  0.567128,  0.498052,  0.121799
1014,  0.698221,  0.559898,  0.198109
1015,  0.427425,  0.368843,  0.137059
1016,  0.724979,  0.636820,  0.121601
1017,  0.640342,  0.484418,  0.243502
1018,  0.714627,  0.656363,  0.081530
1019,  0.726139,  0.714775,  0.015650
1020,  0.818048,  0.717809,  0.122534
1021,  0.873886,  0.746344,  0.145949
1022,  0.736570,  0.727114,  0.012838
1023,  0.576485,  0.629486,  0.091938
1024,  0.694172,  0.761281,  0.096674
1025,  0.471434,  0.444796,  0.056504
1026,  0.800788,  0.723382,  0.096662
1027,  0.929069,  0.775864,  0.164902
1028,  0.555799,  0.547351,  0.015199
1029,  0.493973,  0.509648,  0.031733
1030,  0.811526,  0.700688,  0.136579
1031,  0.590427,  0.764873,  0.295457
1032,  0.819360,  0.716782,  0.125193
1033,  0.311860,  0.322653,  0.034610
1034,  0.508611,  0.435467,  0.143811
1035,  0.685251,  0.648439,  0.053721
1036,  0.593635,  0.574121,  0.032873
1037,  0.455374,  0.474433,  0.041855
1038,  0.475203,  0.490297,  0.031765
1039,  0.235488,  0.402914,  0.710973
1040,  0.451740,  0.389082,  0.138705
1041,  0.276772,  0.226441,  0.181852
1042,  0.786547,  0.461465,  0.413303
1043,  0.411739,  0.524018,  0.272694
1044,  0.717436,  0.516494,  0.280084
1045,  0.548721,  0.648740,  0.182276
1046,  0.677145,  0.634381,  0.063153
1047,  0.730963,  0.603602,  0.174238
1048,  0.543472,  0.558104,  0.026925
1049,  0.624974,  0.586559,  0.061466
1050,  0.726575,  0.478259,  0.341762
1051,  0.670611,  0.509167,  0.240741
1052,  0.681520,  0.507515,  0.255319
1053,  0.412632,  0.393582,  0.046168
1054,  0.406280,  0.366407,  0.098141
1055,  0.461974,  0.440946,  0.045517
1056,  0.691438,  0.634861,  0.081825
1057,  0.766737,  0.675895,  0.118479
1058,  0.647915,  0.665992,  0.027899
1059,  0.627562,  0.638791,  0.017892
1060,  0.474790,  0.421429,  0.112387
1061,  0.619206,  0.426555,  0.311126
1062,  0.500256,  0.404755,  0.190905
1063,  0.770921,  0.666993,  0.134810
1064,  0.347958,  0.188320,  0.458785
1065,  0.210795,  0.126326,  0.400717
1066,  0.208297,  0.239141,  0.148078
1067,  0.601153,  0.098713,  0.835794
1068,  0.205277,  0.148389,  0.277128
1069,  0.134972,  0.038354,  0.715839
1070,  0.666694,  0.426402,  0.360424
1071,  0.047268,  0.033727,  0.286465
1072,  0.704417,  0.341938,  0.514579
1073,  0.417305,  0.209879,  0.497060
1074,  0.622935,  0.500193,  0.197037
1075,  0.265456,  0.220693,  0.168626
1076,  0.179115,  0.149315,  0.166376
1077,  0.205963,  0.306515,  0.488203
1078,  0.213873,  0.178757,  0.164193
1079,  0.393957,  0.318633,  0.191199
1080,  0.557481,  0.443237,  0.204928
1081,  0.348510,  0.331124,  0.049885
1082,  0.623198,  0.560124,  0.101211
1083,  0.423523,  0.422743,  0.001841
1084,  0.518485,  0.292538,  0.435784
1085,  0.573623,  0.520798,  0.092091
1086,  0.185448,  0.052621,  0.716248
1087,  0.482510,  0.320436,  0.335896
1088,  0.577566,  0.164034,  0.715991
1089,  0.107682,  0.098444,  0.085790
1090,  0.553409,  0.496141,  0.103483
1091,  0.256344,  0.243217,  0.051209
